sequence_id,frame_no,0,Smoke,Exhaust,Spray or rain,Reflection,Vegetation,Ground,Road,Lane Line Marking,Stop Line Marking,Other Road Marking,Sidewalk,Driveway,Car,Pickup Truck,Medium-sized Truck,Semi-truck,Towed Object,Motorcycle,Other Vehicle - Construction Vehicle,Other Vehicle - Uncommon,Other Vehicle - Pedicab,Emergency Vehicle,Bus,Personal Mobility Device,Motorized Scooter,Bicycle,Train,Tram / Subway,Pedestrian,Pedestrian with Object,Animals - Bird,Animals - Other,Pylons,Road Barriers,Signs,Cones,Construction Signs,Temporary Construction Barriers,Rolling Containers,Building,Other Static Object
001,0,0.0,0.0,1.0,0.0,787,26775,2288.0,57746,826.0,193.0,518.0,4137,0.0,20052,3759.0,0.0,9.0,23.0,146.0,163.0,1194.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,1630.0,7.0,241.0,0.0,0.0,34429,14052
001,1,0.0,0.0,0.0,0.0,791,27605,2292.0,56509,777.0,209.0,600.0,4056,0.0,20285,3812.0,0.0,8.0,12.0,134.0,168.0,1136.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,1797.0,4.0,294.0,0.0,0.0,34129,13985
001,2,0.0,0.0,1.0,0.0,819,27928,2265.0,54899,743.0,216.0,656.0,4144,0.0,21420,3897.0,0.0,8.0,30.0,131.0,173.0,1148.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,1873.0,3.0,296.0,0.0,0.0,34288,13590
001,3,0.0,0.0,2.0,0.0,835,29185,2268.0,53888,695.0,226.0,596.0,4125,0.0,21763,3917.0,0.0,8.0,15.0,138.0,189.0,1093.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,2096.0,4.0,341.0,0.0,0.0,34594,13247
001,4,0.0,0.0,0.0,0.0,830,28892,2227.0,53621,680.0,259.0,734.0,4368,0.0,21895,3940.0,0.0,8.0,47.0,123.0,191.0,974.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,1925.0,9.0,326.0,0.0,0.0,33295,12802
001,5,0.0,0.0,2.0,0.0,762,29271,2193.0,54004,694.0,286.0,688.0,4363,0.0,21325,3901.0,0.0,7.0,48.0,112.0,210.0,1045.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,1941.0,10.0,308.0,0.0,0.0,33390,12537
001,6,0.0,0.0,1.0,0.0,813,29796,2219.0,53904,712.0,282.0,622.0,4372,0.0,21132,3815.0,0.0,7.0,47.0,108.0,241.0,1036.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,1990.0,14.0,293.0,0.0,0.0,33368,12613
001,7,0.0,0.0,1.0,0.0,828,31497,2187.0,52662,717.0,275.0,655.0,4491,0.0,21359,3797.0,0.0,8.0,42.0,104.0,272.0,1010.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,2173.0,14.0,300.0,0.0,0.0,33315,12715
001,8,0.0,0.0,0.0,0.0,849,31791,2034.0,51433,750.0,264.0,661.0,4554,0.0,21451,3795.0,0.0,7.0,44.0,97.0,278.0,1020.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,2090.0,17.0,315.0,0.0,0.0,32837,12218
001,9,0.0,0.0,0.0,0.0,841,32623,1958.0,50115,729.0,272.0,666.0,4760,0.0,21171,3901.0,0.0,7.0,43.0,96.0,313.0,1038.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,2175.0,14.0,324.0,0.0,0.0,33208,11828
001,10,0.0,0.0,0.0,0.0,856,33676,1800.0,49543,727.0,279.0,543.0,4849,0.0,20560,3880.0,0.0,7.0,41.0,100.0,326.0,1002.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,2189.0,14.0,325.0,0.0,0.0,33281,11746
001,11,0.0,0.0,0.0,0.0,858,35189,1679.0,50195,708.0,261.0,519.0,5250,0.0,20352,3903.0,0.0,7.0,41.0,92.0,339.0,1011.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,1998.0,15.0,417.0,0.0,0.0,33191,11850
001,12,0.0,0.0,0.0,0.0,835,34865,1702.0,51434,688.0,261.0,601.0,5435,0.0,20356,3801.0,0.0,7.0,40.0,90.0,338.0,916.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,1830.0,22.0,447.0,0.0,0.0,32190,11766
